Family,Instance Type,vCPU,Memory,Operating System,Price
Compute optimized,c5d.2xlarge,8,16 GiB,RHEL,0.65
Compute optimized,c5d.xlarge,4,8 GiB,Windows,1.888
General purpose,m6a.24xlarge,96,384 GiB,RHEL,4.69192
Compute optimized,c7a.large,2,4 GiB,Ubuntu Pro,0.0
General purpose,m5dn.xlarge,4,16 GiB,Windows,0.184
Compute optimized,c7a.xlarge,4,8 GiB,RHEL,0.35381
Memory optimized,u-24tb1,448,NA,Linux,0.0
Compute optimized,c5.metal,96,192 GiB,Linux,40.08
Compute optimized,c6a.8xlarge,32,64 GiB,SUSE,1.349
GPU instance,g5.16xlarge,64,256 GiB,RHEL,4.226
Storage optimized,d3en.12xlarge,48,192 GiB,Red Hat Enterprise Linux with HA,0.0
Storage optimized,d3en.8xlarge,32,128 GiB,Windows,9.51776
Memory optimized,r5ad.16xlarge,64,512 GiB,Red Hat Enterprise Linux with HA,4.609
General purpose,m5a.2xlarge,8,32 GiB,Windows,0.733
General purpose,m5n.metal,96,384 GiB,RHEL,7.474
General purpose,m6id.2xlarge,8,32 GiB,Ubuntu Pro,0.0
Compute optimized,c6id.8xlarge,32,64 GiB,SUSE,1.7378
General purpose,m5ad.2xlarge,8,32 GiB,Red Hat Enterprise Linux with HA,1.537
General purpose,m6id.xlarge,4,16 GiB,SUSE,0.31733
Compute optimized,c6i.32xlarge,128,256 GiB,SUSE,0.0
Memory optimized,r5b.xlarge,4,32 GiB,Windows,0.0
General purpose,m5d.large,2,8 GiB,Ubuntu Pro,0.0
Memory optimized,r5n.12xlarge,48,384 GiB,RHEL,3.706
Storage optimized,i2.2xlarge,8,61 GiB,RHEL,1.972
Compute optimized,c7i.16xlarge,64,128 GiB,RHEL,3.2716
General purpose,m7a.2xlarge,8,32 GiB,Windows,0.0
Compute optimized,c5.9xlarge,36,72 GiB,RHEL,1.66
Memory optimized,r5ad.xlarge,4,32 GiB,Linux,1.762
Memory optimized,r5.metal,96,768 GiB,Red Hat Enterprise Linux with HA,0.0
GPU instance,g3s.xlarge,4,30.5 GiB,Red Hat Enterprise Linux with HA,0.898
General purpose,m5.24xlarge,96,384 GiB,Windows,4.608
Memory optimized,r7i.2xlarge,8,64 GiB,Windows,0.0
General purpose,m5d.24xlarge,96,384 GiB,RHEL,17.074
Memory optimized,r5n.xlarge,4,32 GiB,Linux,1.816
Memory optimized,x2idn.32xlarge,128,2048 GiB,Linux,28.698
Memory optimized,r6a.12xlarge,48,384 GiB,Windows,5.7408
General purpose,m6i.32xlarge,128,512 GiB,Ubuntu Pro,6.368
Storage optimized,i3en.12xlarge,48,384 GiB,Windows,0.0
Storage optimized,i4i.large,2,16 GiB,Linux,0.189
Storage optimized,i3en.metal,96,768 GiB,Linux,12.47
Memory optimized,r7a.2xlarge,8,64 GiB,Linux,0.7438
General purpose,m5zn.3xlarge,12,48 GiB,RHEL,1.2201
General purpose,m5d.12xlarge,48,192 GiB,Linux,2.712
General purpose,m5.4xlarge,16,64 GiB,Windows,0.768
General purpose,m7i.metal-24xl,96,384 GiB,Ubuntu Pro,5.0064
Compute optimized,c5ad.xlarge,4,8 GiB,Windows,0.373
Memory optimized,u-9tb1.112xlarge,448,9216 GiB,Windows,102.508
Memory optimized,x2iezn.12xlarge,48,1536 GiB,Red Hat Enterprise Linux with HA,10.173
General purpose,m6id.32xlarge,128,512 GiB,Windows,15.6448
Compute optimized,c5.large,2,4 GiB,Windows,0.662
Compute optimized,c5d.xlarge,4,8 GiB,Windows,0.455
Memory optimized,r5dn.xlarge,4,32 GiB,Linux,0.422
General purpose,m6id.2xlarge,8,32 GiB,Red Hat Enterprise Linux with HA,1.5996
Compute optimized,c6a.4xlarge,16,32 GiB,RHEL,0.0
Memory optimized,r7iz.xlarge,4,32 GiB,Windows,2.056
Compute optimized,c5n.large,2,5.25 GiB,Linux,0.594
Storage optimized,i3en.metal,96,768 GiB,Linux,12.47
Storage optimized,is4gen.8xlarge,32,192 GiB,SUSE,0.0
